Datum;Zeit;Stickstoffmonoxid (NO)[µg/m³];Stickstoffdioxid (NO2)[µg/m³];Kohlenmonoxid (CO)[mg/m³];Benzol[µg/m³];PM10[µg/m³];PM2,5[µg/m³];Temperatur[°C];Luftdruck[hPa]
15.01.2021;01:00;2,9;19,2;0,15;0,60;6,1;5,0;0,4;1019
15.01.2021;02:00;7,2;34,1;0,19;0,68;5,8;4,8;-0,2;1020
15.01.2021;03:00;7,6;34,4;0,16;0,70;5,0;4,2;-0,8;1020
15.01.2021;04:00;4,4;31,6;0,13;0,59;3,8;3,4;-0,6;1020
15.01.2021;05:00;3,2;22,4;0,14;0,62;3,8;2,8;-;1021
15.01.2021;06:00;14,4;27,8;0,18;0,74;6,2;3,6;0,6;1022
15.01.2021;07:00;29,7;39,8;0,32;0,91;11,7;6,0;0,8;1022
15.01.2021;08:00;77,8;59,4;0,52;1,61;18,2;9,3;0,9;1022
15.01.2021;09:00;94,9;65,2;0,62;2,32;27,6;11,2;0,8;1023
15.01.2021;10:00;107,6;66,7;0,51;2,49;25,6;11,4;0,8;1024
15.01.2021;11:00;75,0;54,6;0,57;2,14;26,8;11,0;1,6;1024
15.01.2021;12:00;56,1;40,0;0,40;2,48;20,4;10,7;1,6;1025
15.01.2021;13:00;42,1;33,7;0,39;1,70;19,5;10,2;2,0;1026
15.01.2021;14:00;54,2;35,7;0,46;1,78;16,8;10,6;2,1;1025
15.01.2021;15:00;69,0;41,7;0,58;1,87;17,7;11,2;2,0;1026
15.01.2021;16:00;61,2;43,2;0,47;2,32;17,4;10,9;2,0;1026
15.01.2021;17:00;57,1;43,0;0,50;1,90;15,1;10,5;1,9;1027
15.01.2021;18:00;69,6;49,7;0,58;2,24;17,4;12,6;1,8;1027
15.01.2021;19:00;56,4;46,4;0,54;2,28;18,3;14,4;1,7;1028
15.01.2021;20:00;48,8;39,2;0,44;1,86;18,0;14,5;1,6;1028
15.01.2021;21:00;35,4;37,4;0,43;1,79;17,4;15,1;1,3;1028
15.01.2021;22:00;21,6;32,2;0,36;1,58;16,7;14,6;1,0;1028
15.01.2021;23:00;14,1;25,0;0,33;1,48;15,2;13,9;1,1;1028
15.01.2021;24:00;16,4;26,4;0,33;1,37;16,6;14,4;1,0;1028
16.01.2021;01:00;11,8;23,4;0,28;1,36;15,8;14,2;0,9;1029
16.01.2021;02:00;6,7;20,6;0,26;1,19;17,3;15,0;0,8;1028
16.01.2021;03:00;3,8;15,8;0,20;1,10;14,6;13,1;0,6;1028
16.01.2021;04:00;3,1;12,1;0,16;0,94;11,2;9,8;0,3;1028
16.01.2021;05:00;3,4;11,2;0,13;0,71;12,6;9,8;-0,0;1028
16.01.2021;06:00;7,7;15,9;0,16;0,60;14,2;10,4;-0,2;1028
16.01.2021;07:00;10,9;21,0;0,18;0,62;11,7;8,0;-0,2;1028
16.01.2021;08:00;10,6;23,6;0,18;0,78;14,2;7,2;-0,2;1028
16.01.2021;09:00;11,5;22,6;0,18;0,70;10,9;6,6;-0,3;1028
16.01.2021;10:00;26,2;33,3;0,22;0,74;15,0;7,0;-0,2;1028
16.01.2021;11:00;14,6;22,9;0,24;1,09;12,9;7,1;-0,2;1028
16.01.2021;12:00;19,6;25,9;0,30;1,35;18,0;8,0;0,1;1027
16.01.2021;13:00;22,6;25,6;0,25;1,38;13,8;8,0;0,6;1026
16.01.2021;14:00;29,0;36,2;0,29;1,32;15,4;8,2;0,8;1026
16.01.2021;15:00;35,0;40,8;0,32;1,18;14,5;7,8;0,6;1025
16.01.2021;16:00;32,2;38,2;0,29;1,29;12,2;7,3;0,4;1024
16.01.2021;17:00;28,3;39,6;0,32;1,25;15,2;8,2;0,3;1024
16.01.2021;18:00;20,8;38,0;0,25;1,47;13,4;8,2;0,1;1023
16.01.2021;19:00;24,3;45,1;0,34;1,24;15,3;9,8;0,1;1022
16.01.2021;20:00;23,6;40,0;0,37;1,34;21,2;17,2;-0,2;1022
16.01.2021;21:00;16,9;31,8;0,38;1,84;22,4;20,4;-0,3;1021
16.01.2021;22:00;9,8;23,2;0,28;1,61;17,3;15,8;-1,2;1021
16.01.2021;23:00;11,7;23,0;0,27;1,87;20,2;17,8;-2,0;1020
16.01.2021;24:00;9,6;22,6;0,34;1,74;21,6;20,5;-2,2;1020
17.01.2021;01:00;13,4;25,0;0,28;1,65;22,4;21,9;-2,1;1018
17.01.2021;02:00;7,4;25,2;0,29;1,67;22,4;21,9;-2,0;1018
17.01.2021;03:00;4,4;24,1;0,27;1,42;23,8;23,0;-2,0;1017
17.01.2021;04:00;2,6;23,4;0,26;1,33;23,5;23,0;-2,1;1017
17.01.2021;05:00;5,3;25,4;0,26;1,31;23,5;22,8;-1,9;1017
17.01.2021;06:00;6,2;24,9;0,26;1,23;22,8;22,2;-1,8;1017
17.01.2021;07:00;7,0;28,2;0,28;1,30;24,6;23,4;-1,8;1017
17.01.2021;08:00;18,0;32,4;0,30;1,86;25,5;24,5;-1,8;1017
17.01.2021;09:00;20,3;34,4;0,29;1,64;26,8;25,4;-1,6;1018
17.01.2021;10:00;22,5;33,0;0,32;1,58;27,8;25,9;-1,4;1018
17.01.2021;11:00;22,6;28,0;0,37;2,91;28,8;26,2;-1,2;1018
17.01.2021;12:00;23,0;26,0;0,37;2,02;26,0;24,1;-0,7;1019
17.01.2021;13:00;31,2;31,0;0,36;1,74;27,0;25,0;-0,2;1019
17.01.2021;14:00;41,4;37,6;0,46;1,82;30,2;27,4;-0,0;1019
17.01.2021;15:00;46,6;37,0;0,44;2,08;28,4;26,4;0,2;1019
17.01.2021;16:00;34,4;36,2;0,46;1,90;28,4;26,8;0,2;1020
17.01.2021;17:00;58,0;46,2;0,52;2,06;28,2;26,4;0,3;1020
17.01.2021;18:00;47,4;46,9;0,49;2,16;30,0;27,8;0,3;1021
17.01.2021;19:00;47,6;45,4;0,50;2,63;34,0;31,8;0,5;1022
17.01.2021;20:00;59,2;53,4;0,52;2,29;34,7;31,7;0,7;1022
17.01.2021;21:00;38,8;48,2;0,48;2,33;33,0;31,4;0,6;1022
17.01.2021;22:00;47,0;45,0;0,64;2,34;34,1;32,0;0,8;1023
17.01.2021;23:00;59,1;42,2;0,68;2,73;35,6;33,8;1,0;1023
17.01.2021;24:00;51,2;41,8;0,60;2,48;35,2;33,2;1,0;1023
18.01.2021;01:00;55,2;38,6;0,59;2,37;32,7;31,5;1,2;1023
18.01.2021;02:00;14,4;29,8;0,35;1,94;22,0;21,1;1,6;1023
18.01.2021;03:00;3,8;18,0;0,15;1,05;7,8;7,5;2,6;1023
18.01.2021;04:00;2,3;12,8;0,12;0,57;6,6;6,2;2,8;1024
18.01.2021;05:00;5,4;17,4;0,14;0,52;6,6;5,9;3,0;1024
18.01.2021;06:00;19,6;31,6;0,24;0,78;7,6;6,6;2,9;1024
18.01.2021;07:00;38,3;42,0;0,24;1,00;8,6;7,2;2,6;1024
18.01.2021;08:00;66,6;60,6;0,47;1,12;11,0;7,9;2,3;1024
18.01.2021;09:00;61,4;60,4;0,46;1,80;9,8;7,8;2,4;1025
18.01.2021;10:00;32,6;44,4;0,27;1,48;9,2;7,2;2,7;1025
18.01.2021;11:00;29,3;33,9;0,24;0,87;9,4;7,8;2,9;1025
18.01.2021;12:00;42,3;42,2;0,29;0,86;14,2;10,0;3,4;1025
18.01.2021;13:00;36,5;40,6;0,29;-;12,2;10,5;3,9;1025
18.01.2021;14:00;33,2;39,2;0,30;-;13,7;10,8;4,8;1024
18.01.2021;15:00;33,9;40,6;0,31;-;22,2;11,2;5,0;1023
18.01.2021;16:00;29,6;38,6;0,28;-;10,6;8,0;5,2;1023
18.01.2021;17:00;30,3;40,7;0,36;1,04;10,0;6,6;5,1;1023
18.01.2021;18:00;46,8;56,1;0,38;1,43;11,6;7,6;4,6;1023
18.01.2021;19:00;24,8;42,0;0,29;1,30;12,2;8,4;4,2;1023
18.01.2021;20:00;17,8;35,0;0,22;0,88;12,1;9,0;3,8;1023
18.01.2021;21:00;12,4;25,2;0,20;0,77;11,0;9,0;3,8;1023
18.01.2021;22:00;12,8;29,2;0,32;0,76;11,7;9,5;3,8;1023
18.01.2021;23:00;9,5;21,0;0,18;0,86;11,3;9,2;3,7;1022
18.01.2021;24:00;4,5;15,8;0,16;0,65;10,5;8,6;3,8;1022
19.01.2021;01:00;3,8;12,6;0,15;0,54;9,8;8,1;3,8;1022
19.01.2021;02:00;1,3;10,3;0,14;0,52;8,7;7,2;3,5;1021
19.01.2021;03:00;1,4;11,0;0,15;0,48;7,9;6,7;3,2;1020
19.01.2021;04:00;1,3;14,8;0,16;0,52;8,5;7,1;3,0;1020
19.01.2021;05:00;1,7;16,8;0,13;0,80;8,2;6,2;3,2;1020
19.01.2021;06:00;12,8;29,0;0,18;1,03;8,0;5,7;3,4;1018
19.01.2021;07:00;21,3;37,3;0,22;1,25;8,4;5,8;3,3;1018
19.01.2021;08:00;29,1;42,9;0,30;1,25;10,4;6,4;3,4;1017
19.01.2021;09:00;27,2;44,6;0,29;1,46;13,0;7,2;3,6;1016
19.01.2021;10:00;21,3;40,1;0,29;1,10;14,6;7,6;3,7;1016
19.01.2021;11:00;-;-;-;0,98;18,6;8,8;4,1;1014
19.01.2021;12:00;-;-;0,20;0,78;13,6;7,4;3,8;1013
19.01.2021;13:00;26,5;37,8;0,26;0,86;10,4;7,3;3,2;1012
19.01.2021;14:00;32,0;31,8;0,29;0,89;7,4;5,8;3,6;1011
19.01.2021;15:00;26,8;31,2;0,30;0,95;4,4;3,2;4,1;1011
19.01.2021;16:00;24,8;30,4;0,30;0,94;3,7;2,8;4,4;1011
19.01.2021;17:00;23,8;29,6;0,28;0,92;3,1;2,5;4,6;1012
19.01.2021;18:00;23,5;29,6;0,31;0,99;4,1;3,4;4,6;1012
19.01.2021;19:00;22,0;31,0;0,32;1,20;5,4;4,4;4,6;1012
19.01.2021;20:00;12,2;24,0;0,23;0,79;5,2;4,8;4,2;1012
19.01.2021;21:00;13,2;26,3;0,21;0,70;8,6;7,8;3,7;1012
19.01.2021;22:00;16,2;32,5;0,24;0,74;10,0;9,0;2,8;1012
19.01.2021;23:00;10,0;30,9;0,24;0,93;11,2;10,1;2,1;1012
19.01.2021;24:00;28,6;44,4;0,34;1,04;11,8;10,8;1,3;1012
20.01.2021;01:00;17,4;34,5;0,31;1,01;11,6;10,6;0,6;1011
20.01.2021;02:00;8,8;29,6;0,29;0,82;10,9;9,9;0,5;1010
20.01.2021;03:00;8,4;27,4;0,29;0,72;11,2;10,1;0,5;1010
20.01.2021;04:00;9,0;26,5;0,26;0,70;10,6;9,4;0,3;1010
20.01.2021;05:00;17,4;31,1;0,30;0,73;10,6;9,5;-0,2;1009
20.01.2021;06:00;48,0;40,5;0,42;1,00;10,2;9,0;-0,2;1009
20.01.2021;07:00;89,6;57,3;0,62;1,66;11,2;9,2;0,2;1009
20.01.2021;08:00;159,2;69,6;0,98;2,38;10,7;8,6;0,8;1008
20.01.2021;09:00;166,8;70,8;0,97;3,13;10,8;8,0;1,2;1008
20.01.2021;10:00;116,6;61,4;0,82;3,18;13,0;8,9;1,8;1008
20.01.2021;11:00;103,2;64,8;0,63;2,12;14,7;9,1;2,6;1008
20.01.2021;12:00;98,5;62,4;0,71;2,42;14,8;10,0;3,6;1007
20.01.2021;13:00;90,2;66,8;0,60;2,46;20,2;11,0;4,9;1006
20.01.2021;14:00;48,0;63,0;0,38;2,09;25,4;11,6;5,8;1004
20.01.2021;15:00;63,6;72,4;0,48;1,99;27,2;11,5;6,6;1004
20.01.2021;16:00;86,6;80,9;0,60;2,37;27,4;12,0;6,8;1004
20.01.2021;17:00;122,4;79,6;0,78;2,44;22,3;12,2;6,3;1003
20.01.2021;18:00;123,5;80,4;0,90;3,61;18,9;12,6;5,2;1003
20.01.2021;19:00;88,7;73,0;0,61;2,78;16,6;10,9;4,2;1002
20.01.2021;20:00;74,6;67,2;0,65;1,90;14,6;10,6;4,0;1002
20.01.2021;21:00;65,2;63,2;0,62;2,07;13,6;10,0;3,6;1002
20.01.2021;22:00;46,4;56,0;0,52;1,94;11,6;9,0;3,1;1002
20.01.2021;23:00;47,7;52,6;0,47;1,50;11,0;8,5;3,0;1001
20.01.2021;24:00;31,6;49,4;0,37;1,54;9,6;8,0;2,8;1000
21.01.2021;01:00;12,6;38,9;0,31;1,08;9,5;7,7;2,9;1000
21.01.2021;02:00;9,6;38,0;0,27;0,92;8,4;7,0;2,8;999
21.01.2021;03:00;9,0;38,2;0,28;0,86;9,2;7,3;3,2;998
21.01.2021;04:00;11,9;36,0;0,26;0,88;9,2;7,4;3,3;998
21.01.2021;05:00;26,6;47,0;0,25;0,86;8,6;7,0;3,3;997
21.01.2021;06:00;70,6;59,3;0,38;1,22;8,8;7,0;5,2;997
21.01.2021;07:00;30,2;46,5;0,30;1,52;7,4;4,7;8,5;996
21.01.2021;08:00;15,1;28,2;0,18;0,96;4,7;2,4;11,2;996
21.01.2021;09:00;12,2;21,2;0,13;0,71;5,0;2,1;11,4;996
21.01.2021;10:00;11,7;23,1;0,15;0,56;3,5;1,8;10,8;996
21.01.2021;11:00;18,5;28,3;0,20;0,65;4,1;1,9;9,0;998
21.01.2021;12:00;26,4;37,6;0,20;0,78;4,1;1,4;7,9;999
21.01.2021;13:00;22,6;36,2;0,23;0,92;4,7;1,6;8,3;999
21.01.2021;14:00;20,6;28,4;0,18;0,78;2,8;1,4;8,2;999
21.01.2021;15:00;21,7;29,6;0,20;0,68;3,8;1,9;8,4;999
21.01.2021;16:00;27,0;37,4;0,26;0,84;6,8;2,7;8,6;999
21.01.2021;17:00;49,0;62,8;0,52;1,30;9,4;4,0;8,4;998
21.01.2021;18:00;49,7;68,1;0,48;2,60;8,1;4,0;8,4;998
21.01.2021;19:00;36,8;60,0;0,41;1,88;6,6;4,0;8,0;997
21.01.2021;20:00;18,9;47,8;0,30;1,41;6,8;4,4;7,6;996
21.01.2021;21:00;17,4;41,4;0,22;1,18;5,2;3,5;8,1;994
21.01.2021;22:00;10,6;34,8;0,18;0,93;5,4;4,0;8,4;994
21.01.2021;23:00;6,2;21,8;0,16;0,82;5,7;4,4;8,3;993
21.01.2021;24:00;2,6;13,6;0,12;0,66;4,6;3,7;9,0;992
22.01.2021;01:00;1,0;6,4;0,08;0,48;3,9;2,7;10,4;992
22.01.2021;02:00;0,4;4,0;0,05;0,40;3,7;2,6;11,0;991
22.01.2021;03:00;0,4;3,4;0,06;0,46;3,1;2,2;10,9;991
22.01.2021;04:00;0,6;4,4;0,03;0,56;2,4;1,7;10,2;991
22.01.2021;05:00;1,7;7,1;0,05;0,38;3,2;2,0;10,2;991
22.01.2021;06:00;4,2;11,8;0,10;0,38;3,9;2,4;10,2;991
22.01.2021;07:00;9,6;21,6;0,14;0,46;4,5;2,7;9,6;991
22.01.2021;08:00;25,3;35,8;0,23;0,63;3,4;1,6;6,1;992
22.01.2021;09:00;21,0;28,6;0,19;0,89;0,9;0,5;4,2;992
22.01.2021;10:00;29,6;36,7;0,23;0,74;1,4;0,5;4,0;994
22.01.2021;11:00;33,6;39,7;0,26;0,82;2,4;1,2;4,2;994
22.01.2021;12:00;50,0;55,4;0,32;1,04;3,0;1,6;4,5;995
22.01.2021;13:00;30,4;47,2;0,34;1,08;3,6;2,0;4,6;996
22.01.2021;14:00;40,7;55,4;0,32;1,10;3,5;2,2;4,8;995
22.01.2021;15:00;39,0;53,0;0,40;1,26;4,6;3,2;5,2;996
22.01.2021;16:00;37,2;49,4;0,32;1,46;3,4;2,0;5,4;996
22.01.2021;17:00;30,4;57,7;0,32;1,37;6,2;4,0;5,2;996
22.01.2021;18:00;40,1;67,8;0,42;1,66;6,7;4,8;4,7;996
22.01.2021;19:00;33,2;67,5;0,40;1,61;9,6;7,6;4,5;996
22.01.2021;20:00;24,1;67,1;0,32;1,48;11,6;10,0;4,4;996
22.01.2021;21:00;32,4;46,4;0,35;1,26;11,6;9,3;4,1;996
22.01.2021;22:00;29,7;46,6;0,37;1,18;11,0;9,0;4,0;997
22.01.2021;23:00;23,4;37,4;0,32;1,30;9,4;7,3;4,3;997
22.01.2021;24:00;14,3;26,8;0,28;0,91;8,4;6,9;4,3;997
23.01.2021;01:00;9,0;21,3;0,21;0,76;10,8;8,6;4,4;998
23.01.2021;02:00;6,6;23,0;0,17;0,70;12,8;10,2;4,3;998
23.01.2021;03:00;2,7;12,7;0,12;0,63;10,1;8,6;4,3;998
23.01.2021;04:00;4,0;15,2;0,12;0,53;9,4;7,5;4,2;999
23.01.2021;05:00;3,2;16,4;0,20;0,56;9,3;7,3;3,6;999
23.01.2021;06:00;14,8;29,7;0,21;0,66;10,4;7,8;3,0;999
23.01.2021;07:00;26,6;36,6;0,26;0,73;9,2;6,8;2,4;999
23.01.2021;08:00;31,2;30,6;0,35;1,06;8,1;5,8;1,4;999
23.01.2021;09:00;40,8;41,0;0,34;1,15;11,0;7,3;2,1;999
23.01.2021;10:00;20,0;42,4;0,26;1,47;14,4;10,2;3,1;999
23.01.2021;11:00;20,2;40,4;0,32;1,28;14,7;11,0;3,0;999
23.01.2021;12:00;25,3;42,5;0,34;1,34;14,2;11,3;3,1;998
23.01.2021;13:00;35,8;44,0;0,34;1,52;14,4;12,3;3,2;998
23.01.2021;14:00;19,5;36,8;0,27;1,46;15,8;13,2;3,4;997
23.01.2021;15:00;24,6;40,5;0,31;-;14,4;11,6;4,2;996
23.01.2021;16:00;24,2;42,4;0,30;-;10,4;8,0;5,0;996
23.01.2021;17:00;14,0;34,6;0,22;-;9,2;7,0;4,8;995
23.01.2021;18:00;-;-;-;-;-;-;-;-
23.01.2021;19:00;-;-;-;-;-;-;-;-
23.01.2021;20:00;-;-;-;-;-;-;-;-
23.01.2021;21:00;-;-;-;-;-;-;-;-
23.01.2021;22:00;-;-;-;-;-;-;-;-
23.01.2021;23:00;-;-;-;-;-;-;-;-
23.01.2021;24:00;-;-;-;-;-;-;-;-
