Datum;Zeit;Stickstoffmonoxid (NO)[µg/m³];Stickstoffdioxid (NO2)[µg/m³];Kohlenmonoxid (CO)[mg/m³];Benzol[µg/m³];PM10[µg/m³];PM2,5[µg/m³];Temperatur[°C];Luftdruck[hPa]
05.01.2021;02:00;8,0;16,8;0,29;1,84;12,4;11,8;2,4;1013
05.01.2021;03:00;6,7;17,2;0,32;1,72;12,0;11,7;2,5;1013
05.01.2021;04:00;7,2;18,0;0,27;1,66;11,9;11,4;2,5;1013
05.01.2021;05:00;7,6;16,8;0,28;1,62;11,5;11,1;2,5;1013
05.01.2021;06:00;21,5;23,2;0,31;1,60;10,8;10,0;2,8;1013
05.01.2021;07:00;36,1;27,8;0,38;1,83;12,8;11,2;2,7;1013
05.01.2021;08:00;65,3;31,0;0,60;2,26;14,0;12,8;2,7;1014
05.01.2021;09:00;92,6;37,6;0,61;2,88;14,8;13,9;2,7;1014
05.01.2021;10:00;65,8;34,2;0,52;2,83;13,3;12,1;2,8;1014
05.01.2021;11:00;104,2;40,9;0,88;2,66;13,2;11,4;2,8;1014
05.01.2021;12:00;81,6;37,2;0,66;3,90;14,0;12,6;3,2;1014
05.01.2021;13:00;77,0;34,6;0,55;2,84;14,1;13,0;3,4;1014
05.01.2021;14:00;65,6;31,8;0,64;2,78;13,0;11,7;3,6;1013
05.01.2021;15:00;68,7;33,7;0,59;2,64;12,4;10,9;3,8;1013
05.01.2021;16:00;98,9;43,0;0,80;3,15;13,6;12,1;3,7;1014
05.01.2021;17:00;73,6;36,9;0,64;3,59;14,6;13,0;3,5;1014
05.01.2021;18:00;79,4;39,7;0,69;3,04;13,2;12,2;3,4;1014
05.01.2021;19:00;65,2;34,4;0,52;2,82;13,2;11,7;3,4;1014
05.01.2021;20:00;55,4;33,7;0,48;2,54;14,6;13,3;3,3;1014
05.01.2021;21:00;37,5;30,8;0,40;2,60;11,6;11,3;3,2;1014
05.01.2021;22:00;42,8;32,0;0,36;1,81;8,2;7,6;3,2;1014
05.01.2021;23:00;17,0;23,4;0,32;1,78;7,0;6,5;3,0;1014
05.01.2021;24:00;22,0;25,3;0,30;1,69;6,5;6,1;2,8;1014
06.01.2021;01:00;15,2;21,6;0,26;1,42;5,4;5,2;2,6;1014
06.01.2021;02:00;9,9;19,6;0,26;1,47;4,1;4,0;2,7;1013
06.01.2021;03:00;3,7;15,0;0,22;1,29;3,8;3,6;2,7;1013
06.01.2021;04:00;7,8;18,5;0,22;1,20;3,2;3,1;2,6;1013
06.01.2021;05:00;8,4;15,2;0,22;1,15;2,4;2,2;2,0;1013
06.01.2021;06:00;28,6;31,2;0,34;1,15;4,6;3,4;2,0;1013
06.01.2021;07:00;45,8;43,7;0,34;1,55;7,2;4,6;2,6;1013
06.01.2021;08:00;62,7;49,6;0,48;1,66;8,4;5,6;2,8;1013
06.01.2021;09:00;67,3;52,4;0,49;1,88;8,4;6,6;2,8;1013
06.01.2021;10:00;56,6;47,4;0,38;1,78;6,2;5,0;3,1;1014
06.01.2021;11:00;66,5;47,3;0,48;1,49;4,9;4,1;3,3;1014
06.01.2021;12:00;62,2;45,2;0,43;2,05;6,6;4,6;3,6;1014
06.01.2021;13:00;41,8;37,0;0,34;1,72;4,6;3,9;3,8;1013
